date,open,high,low,volume,close
3/29/1995,30.1167,30.425,29.9673,246100,30.1354
3/30/1995,30.2008,30.2008,29.9579,298400,30.0794
3/31/1995,29.8458,29.9953,29.6216,541300,29.9579
4/3/1995,29.9486,30.0326,29.9299,193300,30.0326
4/4/1995,30.042,30.2288,30.042,66900,30.2288
4/5/1995,30.1634,30.2568,30.1447,107200,30.2288
4/6/1995,30.3036,30.3689,30.2475,352500,30.3409
4/7/1995,30.4063,30.4063,30.1728,361400,30.3129
4/10/1995,30.2662,30.3689,30.2475,285400,30.3689
4/11/1995,30.4437,30.453,30.2475,250300,30.2662
4/12/1995,30.3129,30.3689,30.2568,150900,30.3689
4/13/1995,30.425,30.5464,30.4063,243400,30.5371
4/17/1995,30.6492,30.6772,30.2662,178900,30.3596
4/18/1995,30.3876,30.3876,30.1821,329500,30.2568
4/19/1995,30.2568,30.3222,30.07,223000,30.2288
4/20/1995,30.3129,30.3596,30.1541,207900,30.2755
4/21/1995,30.2849,30.4343,30.2849,145000,30.425
4/24/1995,30.4063,30.7799,30.4063,169000,30.7799
4/25/1995,30.7333,30.7799,30.6772,293200,30.6959
4/26/1995,30.6399,30.7426,30.5651,204400,30.7239
4/27/1995,30.6772,30.8173,30.6585,502200,30.7987
4/28/1995,30.7893,30.892,30.5931,130800,30.8453
5/1/1995,30.8173,30.8827,30.7613,518700,30.7613
5/2/1995,30.7893,30.8734,30.7239,228400,30.8267
5/3/1995,30.9294,31.2564,30.9294,724700,31.2564
5/4/1995,31.2937,31.4993,31.163,311400,31.2377
5/5/1995,31.3685,31.3685,31.1349,314900,31.2004
5/8/1995,31.1723,31.5273,31.1443,183100,31.4245
5/9/1995,31.5553,31.5927,31.3498,180600,31.3965
5/10/1995,31.4806,31.4899,31.2844,330300,31.4339
5/11/1995,31.4806,31.5179,31.3778,351700,31.5179
5/12/1995,31.3965,31.6114,31.3872,94600,31.5366
5/15/1995,31.6207,31.6861,31.5553,147200,31.6861
5/16/1995,31.6767,31.7795,31.6207,221600,31.7048
5/17/1995,31.7048,31.7141,31.5553,189200,31.5833
5/18/1995,31.5273,31.546,31.1256,577800,31.1256
5/19/1995,31.0789,31.2004,31.0322,363900,31.1443
5/22/1995,31.247,31.5366,31.2283,216000,31.4899
5/23/1995,31.546,31.7795,31.4525,136800,31.7795
5/24/1995,31.8356,31.9383,31.5646,370800,31.7608
5/25/1995,31.6674,31.8169,31.5179,379900,31.7888
5/26/1995,31.6674,31.6767,31.3031,518600,31.4245
