date,open,high,low,close,volume
9/6/2019,277.1637,277.7121,276.4665,277.0521,49510922
9/9/2019,278.0653,278.1583,276.2248,277.1916,51086154
9/10/2019,276.4107,277.1916,275.1187,277.1265,57698673
9/11/2019,277.4425,279.1808,276.7733,279.0971,68008165
9/12/2019,280.0267,281.1514,279.2459,280.0639,72546530
9/13/2019,280.5193,280.8819,279.4968,279.8779,62053458
9/16/2019,278.716,279.9224,278.3535,279.0135,57934320
9/17/2019,278.809,279.8129,278.6324,279.7199,42770135
9/18/2019,279.3202,279.9988,277.2287,279.8872,73875018
9/19/2019,280.287,281.3095,279.525,279.8687,77933334
9/20/2019,280.4945,280.784,277.7396,278.5521,96939851
9/23/2019,277.8703,279.2244,277.6089,278.4867,47134009
9/24/2019,279.6073,280.0089,275.3116,276.3015,97160127
9/25/2019,276.3855,278.3933,274.8633,277.9357,73267803
9/26/2019,277.945,278.1598,275.9092,277.3567,58594707
9/27/2019,278.1318,278.2406,274.2656,275.8625,84755721
9/30/2019,276.3948,277.8703,276.3481,277.1419,52438861
10/1/2019,278.0478,278.7155,273.6213,273.8454,89425082
10/2/2019,272.2205,272.2298,267.6819,269.008,124208927
10/3/2019,268.7745,271.2399,265.9823,271.2119,85718095
10/4/2019,271.8843,275.1435,271.5855,274.882,66737063
10/7/2019,274.0602,275.7318,273.4065,273.696,60549809
10/8/2019,271.7909,272.5473,269.4096,269.4469,101367099
10/9/2019,271.5201,272.9676,269.5645,272.0057,64341784
10/10/2019,271.9216,274.7512,271.7536,273.8454,54459839
10/11/2019,276.675,278.9816,276.5581,276.6843,101099695
10/14/2019,276.3575,277.0485,276.0213,276.3762,40467320
10/15/2019,277.4501,279.8781,277.3287,279.1124,48123837
10/16/2019,278.6361,279.3739,278.2159,278.6641,50293197
10/17/2019,279.8595,280.3824,278.7715,279.4859,46676445
10/18/2019,278.9349,279.5933,277.3474,278.2626,64293228
10/21/2019,279.6167,280.3544,279.1637,280.149,39388285
10/22/2019,280.6999,280.9988,279.1404,279.2338,49028214
10/23/2019,278.9723,280.1023,278.7528,280.0462,34857719
10/24/2019,281.0081,281.1575,279.6541,280.5038,35688865
10/25/2019,279.9155,282.2128,279.86,281.6525,45145150
10/28/2019,282.9039,283.7537,282.8758,283.24,42076051
10/29/2019,282.96,284.1085,282.8291,283.156,44201626
10/30/2019,283.3614,284.4074,282.0167,284.0245,49542312
10/31/2019,284.0151,284.0151,281.7739,283.2681,68955393
11/1/2019,284.7492,285.9389,284.5848,285.8922,71071915
11/4/2019,287.4891,287.6292,286.658,287.0409,60270655
11/5/2019,287.2463,287.554,286.4245,286.7233,42809998
11/6/2019,286.7233,287.0689,285.8175,286.7887,46402927
11/7/2019,288.1669,289.1701,287.3117,287.7973,53823043
11/8/2019,287.4424,288.5664,286.7233,288.507,49019213
11/11/2019,287.0875,288.1335,286.9475,287.956,35775777
11/12/2019,288.3296,289.4876,287.7693,288.563,46141997
11/13/2019,287.5451,289.0673,287.3117,288.6564,54261698
11/14/2019,288.3669,289.1607,287.7132,289.0767,51148052
11/15/2019,290.4494,291.2152,289.7397,291.1685,61990853
11/18/2019,290.9257,291.6261,290.4588,291.3833,49285964
11/19/2019,291.9997,292.009,290.6362,291.2993,67663099
11/20/2019,290.6923,291.2246,288.6191,290.216,79200298
11/21/2019,290.328,290.4401,288.9273,289.7491,54403450
11/22/2019,290.5148,290.6549,289.3568,290.3934,44803329
11/25/2019,291.346,292.644,291.346,292.644,48606151
11/26/2019,292.6814,293.4938,292.3545,293.3071,37515200
11/27/2019,293.802,294.6145,293.5779,294.6145,44260649
11/29/2019,294.0355,294.2876,293.2884,293.5219,36592740
12/2/2019,293.7833,293.8487,290.5895,291.0284,75719967
12/3/2019,288.2362,289.1607,286.8167,289.0767,74784721
12/4/2019,290.1506,291.4767,289.7957,290.8603,49007961
